,Country,Job Title,Gender,Quantity,Percentage
599,Great Britain,engineer system electronic data processing engineer system edp,male,3,0.03%
600,Italy,health data analyst,male,3,0.03%
601,France,data base design analyst,female,3,0.03%
602,Spain,data sciences director,female,3,0.03%
603,Italy,geographic information systems data specialist gis data specialist,female,3,0.03%
604,Slovakia,automatic data processing systems security specialist adp systems security,male,3,0.03%
605,Germany,data processing auditor,female,3,0.03%
606,Great Britain,data entry operator,female,3,0.03%
607,Spain,data processing auditor,male,3,0.03%
608,Greece,geographic information systems data administrator gis data administrator,female,3,0.03%
609,Germany,database analyst,female,3,0.03%
610,Italy,database designer,female,3,0.03%
611,France,databases software consultant,male,3,0.03%
612,France,databases software consultant,female,3,0.03%
613,France,databases computer consultant,male,3,0.03%
614,Spain,director of data operations,male,3,0.03%
615,Spain,electronic data interchange system developer edi system developer,female,3,0.03%
616,Italy,database coordinator,male,3,0.03%
617,France,database security expert,female,3,0.03%
618,Spain,electronic data processing auditor edp auditor,female,3,0.03%
619,Spain,data coordinator,female,3,0.03%
620,Spain,electronic data processing auditor edp auditor,male,3,0.03%
621,Hungary,geographic information systems data manager gis data manager,male,3,0.03%
622,France,database modeler,female,3,0.03%
623,Malta,Unemployed,female,3,0.03%
624,France,database manager,male,3,0.03%
625,Spain,database marketing analyst,female,3,0.03%
626,Great Britain,data communications software consultant,female,3,0.03%
627,France,database management system specialist dbms specialist,male,3,0.03%
628,Great Britain,data processor,female,3,0.03%
629,Great Britain,data communications analyst,male,3,0.03%
630,Italy,database analyst,male,3,0.03%
631,France,database development and administration project manager,female,3,0.03%
632,Spain,geographic information systems data specialist gis data specialist,male,3,0.03%
633,Portugal,data coordinator,male,3,0.03%
634,Portugal,data coordinator,female,3,0.03%
635,Portugal,data communications software consultant,female,3,0.03%
636,Spain,head of information systems and data processing,female,3,0.03%
637,Germany,database analyst,male,3,0.03%
638,Czechia,data processing systems analyst,male,3,0.03%
639,Portugal,computer or data processing systems consultant,female,3,0.03%
640,Spain,databases software consultant,female,3,0.03%
641,France,data communications technician,male,3,0.03%
642,Spain,data management information technology specialist,male,3,0.03%
643,Spain,database marketing analyst,male,3,0.03%
644,Netherlands,database modeler,female,3,0.03%
645,Netherlands,database software technician,male,3,0.03%
646,Spain,database security expert,female,3,0.03%
647,Spain,data communications analyst,male,3,0.03%
648,Netherlands,director of data operations,female,3,0.03%
649,Germany,database security administrator,male,3,0.03%
650,France,data communications software consultant,female,3,0.03%
651,Italy,database engineer,male,3,0.03%
652,Romania,automatic data processing systems security specialist adp systems security,male,3,0.03%
653,Romania,data coordinator,female,3,0.03%
654,Spain,databases computer consultant,male,3,0.03%
655,Hungary,data miner,male,3,0.03%
656,Netherlands,database marketing analyst,female,3,0.03%
657,Germany,database administration project manager,male,3,0.03%
658,France,geographic information systems database administrator gis database administrator,male,3,0.03%
659,Spain,database specialist,male,3,0.03%
660,France,geographic information systems data administrator gis data administrator,female,3,0.03%
661,Portugal,geographic information systems data administrator gis data administrator,male,3,0.03%
662,Netherlands,data administrator,male,3,0.03%
663,France,engineer system electronic data processing engineer system edp,male,3,0.03%
664,France,engineer system electronic data processing engineer system edp,female,3,0.03%
665,Germany,automatic data processing customer liaison adp customer liaison,female,3,0.03%
666,Italy,database development and administration project manager,male,3,0.03%
667,Greece,internet database specialist,male,3,0.03%
668,Spain,database tester,male,3,0.03%
669,Great Britain,data processing systems project planner,female,3,0.03%
670,France,clinical trials data coordinator,female,2,0.02%
671,Italy,data processor,female,2,0.02%
672,Italy,voice and data technician,male,2,0.02%
673,Italy,oracle database administrator oracle dba,male,2,0.02%
674,Lithuania,data communications software consultant,female,2,0.02%
675,Italy,oracle database administrator oracle dba,female,2,0.02%
676,Italy,scientific database curator,female,2,0.02%
677,Lithuania,automatic data processing planner adp planner,male,2,0.02%
678,Germany,databases computer consultant,female,2,0.02%
679,France,clinical data management manager cdm manager,male,2,0.02%
680,France,data entry specialist,female,2,0.02%
681,Italy,weight in motion field data collection technician,male,2,0.02%
682,France,clinical data analyst,male,2,0.02%
683,France,business database analyst,female,2,0.02%
684,France,clinical data associate,female,2,0.02%
685,Italy,database coordinator,female,2,0.02%
686,France,automatic data processing systems security specialist adp systems security,female,2,0.02%
687,France,clinical data coordinator,male,2,0.02%
688,Italy,database development project manager,male,2,0.02%
689,France,clinical data management manager cdm manager,female,2,0.02%
690,Italy,database marketing analyst,female,2,0.02%
691,Italy,database specialist,female,2,0.02%
692,France,data communications analyst,female,2,0.02%
693,Italy,databases software consultant,female,2,0.02%
694,Italy,database administration associate,female,2,0.02%
695,Italy,director of data operations,female,2,0.02%
696,Italy,data typist,female,2,0.02%
697,France,data entry machine operator,female,2,0.02%
698,France,data coder operator,male,2,0.02%
699,Italy,flight data technician,female,2,0.02%
700,Italy,geographic information systems data administrator gis data administrator,female,2,0.02%
701,Italy,geographic information systems data manager gis data manager,female,2,0.02%
702,Italy,data security administrator,female,2,0.02%
703,Italy,sql database administrator,female,2,0.02%
704,Hungary,data management associate,male,2,0.02%
705,Italy,data processing systems analyst,female,2,0.02%
706,Germany,flight data technician,male,2,0.02%
707,Great Britain,oracle database administrator oracle dba,female,2,0.02%
708,Great Britain,medical data analyst,male,2,0.02%
709,Great Britain,medical data analyst,female,2,0.02%
710,Great Britain,marketing database analyst,male,2,0.02%
711,Germany,data processing auditor,male,2,0.02%
712,Great Britain,lidar data analyst,male,2,0.02%
713,Germany,data processing auxiliary equipment operator,male,2,0.02%
714,Great Britain,geographic information systems database administrator gis database administrator,female,2,0.02%
715,Great Britain,geographic information systems data manager gis data manager,male,2,0.02%
716,Great Britain,geographic information systems data manager gis data manager,female,2,0.02%
717,Great Britain,flight test data acquisition technician,male,2,0.02%
718,Great Britain,field traffic data technician,female,2,0.02%
719,Great Britain,electronic data processing auditor edp auditor,female,2,0.02%
720,Great Britain,databases software consultant,male,2,0.02%
721,Great Britain,databases software consultant,female,2,0.02%
722,Germany,flight test data acquisition technician,male,2,0.02%
723,Greece,automatic data processing customer liaison adp customer liaison,female,2,0.02%
724,Great Britain,database marketing analyst,male,2,0.02%
725,Greece,automatic data processing planner adp planner,female,2,0.02%
726,Germany,customer data technician,male,2,0.02%
727,Greece,data security analyst,male,2,0.02%
728,Greece,data security administrator,male,2,0.02%
729,Germany,data center operator,female,2,0.02%
730,Germany,data collection technician,female,2,0.02%
731,Germany,data communications software consultant,female,2,0.02%
732,Greece,data officer,female,2,0.02%
733,Greece,data modeling specialist,male,2,0.02%
734,Germany,data compiler,male,2,0.02%
735,Greece,data miner,female,2,0.02%
736,Germany,data conversion operator,male,2,0.02%
737,Greece,data communications software consultant,female,2,0.02%
738,Germany,data entry supervisor,male,2,0.02%
739,Germany,data entry technician,female,2,0.02%
740,Greece,clinical data management manager cdm manager,male,2,0.02%
741,Great Britain,database specialist,female,2,0.02%
742,Great Britain,database administration project manager,male,2,0.02%
743,Italy,data processing manager,male,2,0.02%
744,Germany,database administrator dba,male,2,0.02%
745,Great Britain,data analyst,female,2,0.02%
746,Great Britain,data analysis assistant,male,2,0.02%
747,Germany,database coordinator,female,2,0.02%
748,Great Britain,data acquisition technician,female,2,0.02%
749,Germany,database design analyst,female,2,0.02%
750,Germany,database design analyst,male,2,0.02%
751,Germany,database designer,female,2,0.02%
752,Germany,database engineer,female,2,0.02%
753,Germany,database manager,female,2,0.02%
754,Germany,scada operator supervisory control and data acquisition operator,female,2,0.02%
755,Germany,medical data analyst,female,2,0.02%
756,Germany,marketing database analyst,male,2,0.02%
757,Germany,database modeler,female,2,0.02%
758,Germany,log data technician,male,2,0.02%
759,Germany,database security administrator,female,2,0.02%
760,Great Britain,data communications analyst,female,2,0.02%
761,Germany,database administrator dba,female,2,0.02%
762,Germany,data processor,male,2,0.02%
763,Great Britain,data coordinator,female,2,0.02%
764,Great Britain,data typist,female,2,0.02%
765,Germany,data scientist,female,2,0.02%
766,Great Britain,data security analyst,female,2,0.02%
767,Germany,data security analyst,female,2,0.02%
768,Great Britain,data recovery planner,male,2,0.02%
769,Great Britain,data processor,male,2,0.02%
770,Great Britain,data processing systems project planner,male,2,0.02%
771,Great Britain,data processing consultant,male,2,0.02%
772,Great Britain,data processing auditor,female,2,0.02%
773,Great Britain,data operations director,female,2,0.02%
774,Great Britain,data manager,male,2,0.02%
775,Great Britain,data management information technology specialist,female,2,0.02%
776,Great Britain,data management associate,female,2,0.02%
777,Great Britain,data examination clerk,male,2,0.02%
778,Great Britain,data entry associate,male,2,0.02%
779,Greece,database designer,male,2,0.02%
780,Greece,database engineer,male,2,0.02%
781,Greece,database security expert,female,2,0.02%
782,Italy,data acquisition technician,female,2,0.02%
783,Italy,clinical data management manager cdm manager,female,2,0.02%
784,France,data recovery planner,female,2,0.02%
785,Italy,clinical data associate,male,2,0.02%
786,Italy,automatic data processing customer liaison adp customer liaison,female,2,0.02%
787,Germany,director of data operations,male,2,0.02%
788,Ireland,geographic information systems database administrator gis database administrator,male,2,0.02%
789,France,data systems manager,female,2,0.02%
790,Ireland,database tester,female,2,0.02%
791,Ireland,data systems manager,male,2,0.02%
792,France,database analyst,male,2,0.02%
793,Ireland,data processing systems analyst,male,2,0.02%
794,France,database designer,female,2,0.02%
795,Ireland,data communications analyst,female,2,0.02%
796,France,database engineer,female,2,0.02%
797,Hungary,head of information systems and data processing,male,2,0.02%
798,France,data processing systems project planner,female,2,0.02%
799,France,data processing manager,female,2,0.02%
800,Germany,clinical data analyst,female,2,0.02%
801,Italy,data coder operator,female,2,0.02%
802,Italy,data processing control clerk,male,2,0.02%
803,Italy,data operations director,male,2,0.02%
804,Italy,data operations director,female,2,0.02%
805,Italy,data manager,male,2,0.02%
806,Italy,data manager,female,2,0.02%
807,Italy,data management information technology specialist,female,2,0.02%
808,Italy,data management associate,female,2,0.02%
809,Italy,data input clerk,male,2,0.02%
810,Italy,data input clerk,female,2,0.02%
811,Italy,data entry representative,male,2,0.02%
812,Italy,data coordinator,male,2,0.02%
813,Italy,data control clerk supervisor,male,2,0.02%
814,Italy,data control assistant,female,2,0.02%
815,Italy,data communications software consultant,male,2,0.02%
816,France,data operations director,female,2,0.02%
817,Hungary,geographic information systems data specialist gis data specialist,male,2,0.02%
818,France,database programmer,female,2,0.02%
819,Hungary,engineer system electronic data processing engineer system edp,male,2,0.02%
820,France,database specialist,female,2,0.02%
821,Hungary,data architect,female,2,0.02%
822,Hungary,data administrator,male,2,0.02%
823,Finland,geographic information systems data specialist gis data specialist,male,2,0.02%
824,Hungary,automatic data processing planner adp planner,male,2,0.02%
825,Hungary,automatic data processing planner adp planner,female,2,0.02%
826,France,sql database administrator,male,2,0.02%
827,Greece,sql database administrator,male,2,0.02%
828,Germany,field traffic data technician,male,2,0.02%
829,Greece,oracle database administrator oracle dba,female,2,0.02%
830,Germany,flight data technician,female,2,0.02%
831,Germany,automatic data processing planner,female,2,0.02%
832,Greece,geographic information systems data specialist gis data specialist,male,2,0.02%
833,Greece,engineer system electronic data processing engineer system edp,male,2,0.02%
834,Germany,clinical data abstractor,female,2,0.02%
835,Germany,clinical data abstractor,male,2,0.02%
836,Hungary,data base design analyst,female,2,0.02%
837,France,scada operator supervisory control and data acquisition operator,female,2,0.02%
838,Hungary,data coordinator,male,2,0.02%
839,France,field traffic data technician,male,2,0.02%
840,Hungary,databases computer consultant,male,2,0.02%
841,Hungary,database management system specialist dbms specialist,male,2,0.02%
842,Hungary,database engineer,male,2,0.02%
843,France,electronic data processing auditor edp auditor,female,2,0.02%
844,Hungary,database coordinator,female,2,0.02%
845,Hungary,database consultant,female,2,0.02%
846,Hungary,database administration associate,female,2,0.02%
847,France,medical data analyst,female,2,0.02%
848,Hungary,data specialist,male,2,0.02%
849,Hungary,data miner,female,2,0.02%
850,Hungary,data management information technology specialist,male,2,0.02%
851,France,log data technician,female,2,0.02%
852,France,log data technician,male,2,0.02%
853,France,maintenance data analyst,female,2,0.02%
854,Hungary,data administrator,female,2,0.02%
855,Germany,database specialist,female,2,0.02%
856,Romania,data base design analyst,male,2,0.02%
857,Spain,data entry machine operator,female,2,0.02%
858,Czechia,database architect,male,2,0.02%
859,Spain,data compiler,male,2,0.02%
860,Poland,oracle database administrator oracle dba,female,2,0.02%
861,Czechia,database consultant,male,2,0.02%
862,Poland,marketing database analyst,male,2,0.02%
863,Belgium,database designer,male,2,0.02%
864,Poland,lidar data analyst,male,2,0.02%
865,Poland,geographic information systems database administrator gis database administrator,male,2,0.02%
866,Spain,database software technician,female,2,0.02%
867,Poland,geographic information systems data administrator gis data administrator,male,2,0.02%
868,Belgium,database administration associate,male,2,0.02%
869,Belgium,data security analyst,male,2,0.02%
870,Czechia,database software technician,female,2,0.02%
871,Poland,databases software consultant,female,2,0.02%
872,Poland,database tester,male,2,0.02%
873,Czechia,database tester,male,2,0.02%
874,Spain,data compiler,female,2,0.02%
875,Portugal,automatic data processing customer liaison adp customer liaison,female,2,0.02%
876,Spain,data communications analyst,female,2,0.02%
877,Belgium,database engineer,male,2,0.02%
878,Belgium,geographic information systems data manager gis data manager,male,2,0.02%
879,Portugal,data management associate,male,2,0.02%
880,Czechia,data officer,female,2,0.02%
881,Czechia,data officer,male,2,0.02%
882,Czechia,data operations director,female,2,0.02%
883,Belgium,director of data operations,male,2,0.02%
884,Portugal,data communications software consultant,male,2,0.02%
885,Portugal,data capture clerk,male,2,0.02%
886,Portugal,data base design analyst,male,2,0.02%
887,Belgium,database marketing analyst,female,2,0.02%
888,Spain,clinical data management manager cdm manager,male,2,0.02%
889,Spain,clinical data manager,male,2,0.02%
890,Belgium,database manager,female,2,0.02%
891,Spain,data administrator,male,2,0.02%
892,Spain,data base design analyst,male,2,0.02%
893,Spain,data management information technology specialist,female,2,0.02%
894,Belgium,data scientist,male,2,0.02%
895,Spain,data miner,male,2,0.02%
896,Spain,data scientist,female,2,0.02%
897,Poland,data processing consultant,male,2,0.02%
898,Poland,data operations director,male,2,0.02%
899,Poland,data operations director,female,2,0.02%
900,Poland,data officer,female,2,0.02%
901,Poland,data modeling specialist,male,2,0.02%
902,Poland,data miner,female,2,0.02%
903,Spain,database administration project manager,female,2,0.02%
904,Spain,database architect,female,2,0.02%
905,Spain,database consultant,male,2,0.02%
906,Poland,data entry technician,male,2,0.02%
907,Denmark,data coordinator,male,2,0.02%
908,Spain,database manager,female,2,0.02%
909,Poland,data coordinator,male,2,0.02%
910,Poland,data compiler,male,2,0.02%
911,Denmark,data officer,female,2,0.02%
912,Spain,data technician,male,2,0.02%
913,Spain,data sciences director,male,2,0.02%
914,Poland,database manager,male,2,0.02%
915,Poland,data processing systems project planner,male,2,0.02%
916,Czechia,director of data operations,male,2,0.02%
917,Poland,database engineer,female,2,0.02%
918,Poland,database developer,male,2,0.02%
919,Belgium,data scientist,female,2,0.02%
920,Poland,database consultant,female,2,0.02%
921,Belgium,data processing systems project planner,male,2,0.02%
922,Spain,data operations director,female,2,0.02%
923,Czechia,geographic information systems data specialist gis data specialist,male,2,0.02%
924,Spain,data operations director,male,2,0.02%
925,Spain,data processing auxiliary equipment operator,male,2,0.02%
926,Belgium,data officer,male,2,0.02%
927,Spain,data processing systems analyst,female,2,0.02%
928,Spain,data recovery planner,male,2,0.02%
929,Czechia,oracle database administrator oracle dba,male,2,0.02%
930,Belgium,data officer,female,2,0.02%
931,Belgium,geographic information systems data specialist gis data specialist,male,2,0.02%
932,Portugal,data officer,female,2,0.02%
933,Portugal,data processing manager,female,2,0.02%
934,Bulgaria,database modeler,male,2,0.02%
935,Romania,data modeling specialist,male,2,0.02%
936,Romania,data modeler,male,2,0.02%
937,Romania,head of information systems and data processing,female,2,0.02%
938,Bulgaria,database designer,female,2,0.02%
939,Romania,data management associate,female,2,0.02%
940,Romania,data input clerk,male,2,0.02%
941,Croatia,data security administrator,male,2,0.02%
942,Romania,oracle database administrator oracle dba,male,2,0.02%
943,Romania,reference data expert,male,2,0.02%
944,Romania,sql database administrator,female,2,0.02%
945,Romania,sql database administrator,male,2,0.02%
946,Romania,data collection technician,male,2,0.02%
947,Slovakia,automatic data processing planner,male,2,0.02%
948,Bulgaria,data warehouse architect,male,2,0.02%
949,Croatia,database security administrator,male,2,0.02%
950,Romania,data processing auditor,male,2,0.02%
951,Romania,data processing consultant,female,2,0.02%
952,Bulgaria,data processing manager,male,2,0.02%
953,Romania,data processing systems project planner,female,2,0.02%
954,Bulgaria,head of information systems and data processing,male,2,0.02%
955,Bulgaria,sql database administrator,male,2,0.02%
956,Romania,database engineer,male,2,0.02%
957,Romania,database development and administration project manager,female,2,0.02%
958,Romania,database designer,male,2,0.02%
959,Romania,databases software consultant,female,2,0.02%
960,Romania,database architect,male,2,0.02%
961,Romania,database architect,female,2,0.02%
962,Romania,database administration manager,male,2,0.02%
963,Romania,engineer system electronic data processing engineer system edp,male,2,0.02%
964,Romania,database administration associate,female,2,0.02%
965,Romania,data warehouse architect,female,2,0.02%
966,Romania,field traffic data technician,male,2,0.02%
967,Romania,data security analyst,female,2,0.02%
968,Bulgaria,database tester,female,2,0.02%
969,Slovakia,data administrator,male,2,0.02%
970,Slovakia,data officer,male,2,0.02%
971,Portugal,data processing manager,male,2,0.02%
972,Slovakia,database management system specialist dbms specialist,female,2,0.02%
973,Portugal,database software technician,male,2,0.02%
974,Czechia,automatic data processing planner,male,2,0.02%
975,Portugal,database manager,male,2,0.02%
976,Slovakia,database manager,male,2,0.02%
977,Czechia,automatic data processing systems security specialist adp systems security,male,2,0.02%
978,Bulgaria,data architect,female,2,0.02%
979,Portugal,database coordinator,male,2,0.02%
980,Czechia,computer or data processing systems consultant,male,2,0.02%
981,Portugal,database architect,male,2,0.02%
982,Czechia,data administrator,female,2,0.02%
983,Portugal,database administration associate,male,2,0.02%
984,Portugal,data scientist,male,2,0.02%
985,Portugal,data scientist,female,2,0.02%
986,Portugal,data recovery planner,male,2,0.02%
987,Slovakia,geographic information systems data administrator gis data administrator,male,2,0.02%
988,Portugal,database specialist,male,2,0.02%
989,Portugal,databases software consultant,female,2,0.02%
990,Slovakia,data processing auditor,female,2,0.02%
991,Portugal,electronic data interchange system developer edi system developer,male,2,0.02%
992,Croatia,geographic information systems data manager gis data manager,male,2,0.02%
993,Romania,computer or data processing systems consultant,female,2,0.02%
994,Romania,clinical data manager,male,2,0.02%
995,Romania,clinical data associate,male,2,0.02%
996,Romania,business database analyst,female,2,0.02%
997,Romania,automatic data processing planner adp planner,female,2,0.02%
998,Romania,automatic data processing planner,female,2,0.02%
999,Bulgaria,data miner,female,2,0.02%
1000,Portugal,sql database administrator,male,2,0.02%
1001,Croatia,internet database specialist,female,2,0.02%
1002,Cyprus,Unemployed,female,2,0.02%
1003,Slovakia,data scientist,male,2,0.02%
1004,Portugal,geographic information systems data specialist gis data specialist,male,2,0.02%
1005,Slovakia,data security analyst,female,2,0.02%
1006,Portugal,electronic data processing auditor edp auditor,male,2,0.02%
1007,Denmark,data officer,male,2,0.02%
1008,Belgium,data security administrator,female,2,0.02%
1009,Netherlands,data processing equipment repairer,female,2,0.02%
1010,Netherlands,data control clerk supervisor,male,2,0.02%
1011,Sweden,data officer,female,2,0.02%
1012,Netherlands,data miner,male,2,0.02%
1013,Netherlands,data modeling specialist,female,2,0.02%
1014,Sweden,data coordinator,female,2,0.02%
1015,Netherlands,data processing consultant,male,2,0.02%
1016,Poland,data collection technician,female,2,0.02%
1017,Netherlands,data processing manager,female,2,0.02%
1018,Netherlands,data processing manager,male,2,0.02%
1019,Austria,database security administrator,male,2,0.02%
1020,Netherlands,data scientist,male,2,0.02%
1021,Netherlands,data security administrator,male,2,0.02%
1022,Austria,database software technician,male,2,0.02%
1023,Netherlands,database administration associate,male,2,0.02%
1024,Netherlands,database consultant,male,2,0.02%
1025,Austria,geographic information systems database administrator gis database administrator,female,2,0.02%
1026,Netherlands,database designer,male,2,0.02%
1027,Netherlands,database management system specialist dbms specialist,male,2,0.02%
1028,Netherlands,database manager,male,2,0.02%
1029,Netherlands,database marketing analyst,male,2,0.02%
1030,Denmark,survey data technician,female,2,0.02%
1031,Netherlands,database security expert,male,2,0.02%
1032,Austria,geographic information systems database administrator gis database administrator,male,2,0.02%
1033,Denmark,oracle database administrator oracle dba,male,2,0.02%
1034,Netherlands,engineer system electronic data processing engineer system edp,male,2,0.02%
1035,Sweden,automatic data processing planner adp planner,female,2,0.02%
1036,Sweden,automatic data processing customer liaison adp customer liaison,male,2,0.02%
1037,Netherlands,geographic information systems database administrator gis database administrator,male,2,0.02%
1038,Finland,data coordinator,female,2,0.02%
1039,Sweden,data processing manager,female,2,0.02%
1040,Denmark,electronic data interchange system developer edi system developer,male,2,0.02%
1041,Sweden,data scientist,female,2,0.02%
1042,Finland,geographic information systems data administrator gis data administrator,female,2,0.02%
1043,Austria,automatic data processing customer liaison adp customer liaison,male,2,0.02%
1044,Sweden,geographic information systems database administrator gis database administrator,female,2,0.02%
1045,Sweden,geographic information systems data specialist gis data specialist,female,2,0.02%
1046,Finland,electronic data processing auditor edp auditor,male,2,0.02%
1047,Lithuania,databases software consultant,male,2,0.02%
1048,Austria,automatic data processing systems security specialist adp systems security,male,2,0.02%
1049,Finland,director of data operations,male,2,0.02%
1050,Lithuania,electronic data processing auditor edp auditor,male,2,0.02%
1051,Sweden,database specialist,male,2,0.02%
1052,Austria,computer or data processing systems consultant,male,2,0.02%
1053,Sweden,database security administrator,male,2,0.02%
1054,Finland,database software technician,male,2,0.02%
1055,Sweden,database modeler,male,2,0.02%
1056,Finland,database administration manager,male,2,0.02%
1057,Austria,data coordinator,male,2,0.02%
1058,Austria,data officer,male,2,0.02%
1059,Austria,data processing auditor,female,2,0.02%
1060,Netherlands,automatic data processing customer liaison adp customer liaison,male,2,0.02%
1061,Netherlands,automatic data processing systems security specialist adp systems security,male,2,0.02%
1062,Austria,data security analyst,male,2,0.02%
1063,Sweden,data typist,male,2,0.02%
1064,Netherlands,computer or data processing systems consultant,male,2,0.02%
1065,Finland,data processing auditor,male,2,0.02%
1066,Netherlands,data center operator,male,2,0.02%
1067,Finland,data officer,male,2,0.02%
1068,Finland,data modeling specialist,female,2,0.02%
1069,Spain,weight in motion field data collection technician,male,2,0.02%
1070,Romania,database security administrator,male,2,0.02%
1071,Spain,weight in motion field data collection technician,female,2,0.02%
1072,Poland,data capture clerk,male,2,0.02%
1073,Denmark,database specialist,male,2,0.02%
1074,Belgium,automatic data processing systems security specialist adp systems security,male,2,0.02%
1075,Belgium,clinical data associate,female,2,0.02%
1076,Spain,micro computer data processor,female,2,0.02%
1077,Poland,data administrator,female,2,0.02%
1078,Poland,data acquisition technician,female,2,0.02%
1079,Denmark,database management system specialist dbms specialist,female,2,0.02%
1080,Poland,automatic data processing planner,male,2,0.02%
1081,Poland,computer or data processing systems consultant,female,2,0.02%
1082,Poland,automatic data processing systems security specialist adp systems security,female,2,0.02%
1083,Spain,flight test data acquisition technician,male,2,0.02%
1084,Denmark,data warehouse architect,male,2,0.02%
1085,Belgium,data administrator,male,2,0.02%
1086,Poland,clinical data analyst,female,2,0.02%
1087,Belgium,data architect,male,2,0.02%
1088,Spain,geographic information systems data specialist gis data specialist,female,2,0.02%
1089,Spain,internet database specialist,female,2,0.02%
1090,Spain,health data analyst,male,2,0.02%
1091,Spain,geographic information systems database administrator gis database administrator,female,2,0.02%
1092,Netherlands,oracle database administrator oracle dba,male,2,0.02%
1093,Poland,analytical data miner,female,2,0.02%
1094,Poland,data capture specialist,female,2,0.02%
1095,Spain,database specialist,female,2,0.02%
1096,Netherlands,internet database specialist,male,2,0.02%
1097,Spain,databases computer consultant,female,2,0.02%
1098,Belgium,automatic data processing planner,male,2,0.02%
1099,Spain,scientific database curator,male,2,0.02%
1100,Bulgaria,data systems manager,female,1,0.01%
1101,Bulgaria,data processing systems analyst,female,1,0.01%
1102,Bulgaria,data processing systems analyst,male,1,0.01%
1103,Bulgaria,data recovery planner,female,1,0.01%
1104,Bulgaria,data security administrator,female,1,0.01%
1105,Austria,automatic data processing planner,female,1,0.01%
1106,Bulgaria,data security analyst,female,1,0.01%
1107,Austria,data management information technology specialist,female,1,0.01%
1108,Bulgaria,data warehouse architect,female,1,0.01%
1109,Bulgaria,data processing manager,female,1,0.01%
1110,Bulgaria,database administration associate,female,1,0.01%
1111,Austria,data management associate,male,1,0.01%
1112,Austria,data keyer,male,1,0.01%
1113,Bulgaria,database administration associate,male,1,0.01%
1114,Bulgaria,database administration manager,female,1,0.01%
1115,Austria,data entry specialist,female,1,0.01%
1116,Austria,data entry representative,female,1,0.01%
1117,Germany,data conversion operator,female,1,0.01%
1118,Austria,data processing auditor,male,1,0.01%
1119,Bulgaria,data processing auditor,male,1,0.01%
1120,Bulgaria,database architect,male,1,0.01%
1121,Bulgaria,data modeling specialist,female,1,0.01%
1122,Germany,database programmer,male,1,0.01%
1123,Germany,data processing clerk,male,1,0.01%
1124,Germany,data typist,male,1,0.01%
1125,Bulgaria,geographic information systems database administrator gis database administrator,female,1,0.01%
1126,Bulgaria,data officer,female,1,0.01%
1127,Belgium,data coordinator,male,1,0.01%
1128,Bulgaria,data operations director,female,1,0.01%
1129,Bulgaria,geographic information systems data specialist gis data specialist,male,1,0.01%
1130,Austria,database administration associate,male,1,0.01%
1131,Austria,data systems manager,female,1,0.01%
1132,Belgium,data miner,female,1,0.01%
1133,Austria,data processing systems project planner,male,1,0.01%
1134,Belgium,data manager,male,1,0.01%
1135,Bulgaria,data processing auditor,female,1,0.01%
1136,Germany,data control clerk supervisor,male,1,0.01%
1137,Belgium,data entry representative,male,1,0.01%
1138,Bulgaria,database analyst,female,1,0.01%
1139,Germany,data entry representative,male,1,0.01%
1140,Bulgaria,director of data operations,male,1,0.01%
1141,Germany,data input clerk,female,1,0.01%
1142,Belgium,data management information technology specialist,male,1,0.01%
1143,Bulgaria,database software technician,female,1,0.01%
1144,Bulgaria,database software technician,male,1,0.01%
1145,Bulgaria,geographic information systems data administrator gis data administrator,male,1,0.01%
1146,Germany,data keyer,male,1,0.01%
1147,Germany,data keyer,female,1,0.01%
1148,Germany,data input clerk,male,1,0.01%
1149,Germany,data entry machine operator,female,1,0.01%
1150,Germany,data entry technician,male,1,0.01%
1151,Bulgaria,database security administrator,male,1,0.01%
1152,Austria,computer or data processing systems consultant,female,1,0.01%
1153,Belgium,data management information technology specialist,female,1,0.01%
1154,Austria,clinical data specialist,male,1,0.01%
1155,Belgium,data management associate,female,1,0.01%
1156,Germany,data entry representative,female,1,0.01%
1157,Belgium,data entry specialist,male,1,0.01%
1158,Austria,automatic data processing planner,male,1,0.01%
1159,Bulgaria,electronic data processing auditor edp auditor,male,1,0.01%
1160,Bulgaria,database security expert,male,1,0.01%
1161,Germany,data management manager,female,1,0.01%
1162,Belgium,data base design analyst,male,1,0.01%
1163,Austria,data base design analyst,male,1,0.01%
1164,Austria,data communications software consultant,male,1,0.01%
1165,Bulgaria,database consultant,female,1,0.01%
1166,Bulgaria,database coordinator,male,1,0.01%
1167,Germany,data modeler,male,1,0.01%
1168,Belgium,data capture specialist,male,1,0.01%
1169,Bulgaria,database design analyst,male,1,0.01%
1170,Austria,data communications software consultant,female,1,0.01%
1171,Austria,data coder operator,male,1,0.01%
1172,Germany,data typist,female,1,0.01%
1173,Germany,database security expert,female,1,0.01%
1174,Bulgaria,database development project manager,female,1,0.01%
1175,Austria,data base design analyst,female,1,0.01%
1176,Belgium,data collector,female,1,0.01%
1177,Austria,data administrator,female,1,0.01%
1178,Germany,data manager,female,1,0.01%
1179,Bulgaria,geographic information systems data manager gis data manager,male,1,0.01%
1180,Belgium,data communications analyst,male,1,0.01%
1181,Austria,crime data specialist,male,1,0.01%
1182,Austria,database administration manager,male,1,0.01%
1183,Bulgaria,data compiler,female,1,0.01%
1184,Bulgaria,data management information technology specialist,male,1,0.01%
